ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
001,2002,0.7895,0.3642,0.4402,0.0913,0.0745,0.0129,,,171856,217678
002,2002,0.7957,0.3998,0.4241,0.0653,0.082,0.0111,,,144507,181614
003,2002,0.7983,0.3855,0.4122,0.0768,0.0883,0.0128,,,140495,175990
004,2002,0.8167,0.3732,0.4262,0.09,0.0803,0.0117,,,159411,195179
005,2002,0.7886,0.2794,0.4428,0.1505,0.0828,0.0215,,,152938,193933
006,2002,0.8038,0.3581,0.4455,0.0849,0.0767,0.0122,,,139038,172971
007,2002,0.8371,0.355,0.4155,0.1023,0.083,0.0119,,,187495,223977
008,2002,0.822,0.3667,0.4118,0.0934,0.0869,0.0127,,,187998,228709
009,2002,0.8078,0.3825,0.4399,0.0713,0.0783,0.0095,,,141399,175045
010,2002,0.833,0.3772,0.3999,0.0977,0.0817,0.0115,,,190571,228765
011,2002,0.7687,0.3176,0.4765,0.0989,0.0665,0.0161,,,137518,178895
012,2002,0.7085,0.2839,0.456,0.0355,0.0552,0.1424,,,154794,218477
013,2002,0.7257,0.2542,0.4688,0.0419,0.052,0.155,,,133843,184442
014,2002,0.714,0.2153,0.4853,0.0503,0.0463,0.1821,,,115637,161960
015,2002,0.6789,0.3631,0.3615,0.0296,0.0526,0.163,,,138269,203657
016,2002,0.6863,0.3723,0.3486,0.0295,0.0568,0.1613,,,143224,208696
017,2002,0.7173,0.3021,0.4219,0.0347,0.0583,0.1567,,,172265,240166
018,2002,0.7119,0.3146,0.3826,0.0272,0.0562,0.1888,,,138548,194621
019,2002,0.7522,0.2304,0.4589,0.1693,0.0593,0.0275,,,182934,243210
020,2002,0.8145,0.2787,0.3797,0.2024,0.0701,0.0293,,,137534,168860
021,2002,0.8283,0.2589,0.4046,0.2011,0.0721,0.0233,,,149594,180612
022,2002,0.845,0.3081,0.3845,0.1758,0.0819,0.0162,,,170042,201238
023,2002,0.7862,0.2997,0.4382,0.1214,0.0687,0.015,,,167884,213526
024,2002,0.7672,0.3097,0.4434,0.1109,0.0573,0.0159,,,164430,214337
025,2002,0.7966,0.2401,0.6171,0.0556,0.0596,0.0096,,,146852,184346
026,2002,0.7969,0.4168,0.4474,0.0419,0.0682,0.0076,,,178243,223672
027,2002,0.784,0.3067,0.5203,0.0573,0.0817,0.0103,,,148578,189511
028,2002,0.8001,0.2811,0.4835,0.1132,0.088,0.0159,,,164427,205499
029,2002,0.7947,0.2999,0.5139,0.0706,0.0843,0.0102,,,176606,222218
030,2002,0.8114,0.3131,0.4955,0.0806,0.0743,0.0095,,,169037,208331
031,2002,0.803,0.3541,0.4632,0.0734,0.0721,0.0099,,,149562,186254
032,2002,0.8222,0.4866,0.3798,0.0457,0.0699,0.0057,,,180640,219713
033,2002,0.8042,0.5928,0.2813,0.0339,0.0736,0.005,,,161152,200389
034,2002,0.805,0.3306,0.478,0.0703,0.0902,0.0094,,,153072,190154
035,2002,0.81,0.3544,0.4584,0.0784,0.0759,0.01,,,182294,225057
036,2002,0.8315,0.3616,0.4295,0.0845,0.0799,0.0098,,,206287,248079
037,2002,0.8083,0.3371,0.4355,0.1077,0.0766,0.0158,,,172351,213233
038,2002,0.8168,0.4273,0.4103,0.0616,0.0786,0.0071,,,156405,191489
039,2002,0.8153,0.3673,0.4343,0.0958,0.0806,0.0094,,,155747,191030
040,2002,0.806,0.336,0.5132,0.057,0.0604,0.0088,,,160102,198646
041,2002,0.7987,0.2801,0.509,0.1109,0.0629,0.0138,,,143510,179678
042,2002,0.8029,0.2617,0.4987,0.1382,0.061,0.0208,,,151400,188563
043,2002,0.8287,0.3284,0.4979,0.0671,0.0732,0.0083,,,189610,228792
044,2002,0.8025,0.3819,0.4433,0.0655,0.0709,0.0098,,,173848,216639
045,2002,0.8225,0.336,0.5146,0.0579,0.0614,0.0081,,,174874,212606
046,2002,0.8118,0.3294,0.5146,0.0534,0.0673,0.0093,,,165253,203553
047,2002,0.8379,0.3086,0.52,0.0721,0.0661,0.0087,,,198162,236507
048,2002,0.8305,0.3299,0.5148,0.0657,0.0547,0.0087,,,186886,225028
049,2002,0.8042,0.3241,0.5305,0.0529,0.06,0.0092,,,177103,220223
050,2002,0.7975,0.2979,0.4974,0.1001,0.0688,0.0162,,,150095,188217
051,2002,0.8032,0.3388,0.5251,0.0505,0.0548,0.0085,,,150834,187801
052,2002,0.8028,0.3367,0.5093,0.0542,0.07,0.0108,,,179177,223193
053,2002,0.8124,0.3255,0.4624,0.1092,0.0669,0.0172,,,184220,226749
054,2002,0.8096,0.2554,0.4492,0.1759,0.0716,0.0245,,,201901,249388
055,2002,0.7661,0.2347,0.5265,0.1208,0.0619,0.0199,,,180108,235105
056,2002,0.7171,0.227,0.4947,0.0341,0.0573,0.1559,,,126723,176708
057,2002,0.7057,0.2068,0.4857,0.0331,0.0512,0.1862,,,126778,179647
058,2002,0.7499,0.2339,0.4509,0.0603,0.0644,0.1427,,,172416,229920
059,2002,0.7416,0.2105,0.4334,0.0451,0.0556,0.2071,,,173166,233502
060,2002,0.7094,0.2231,0.4799,0.0407,0.0591,0.1636,,,144473,203652
061,2002,0.7851,0.1994,0.4492,0.0791,0.0602,0.1825,,,189560,241453
062,2002,0.7545,0.2259,0.4636,0.0435,0.0593,0.17,,,158885,210588
063,2002,0.7276,0.2186,0.4549,0.0422,0.054,0.1892,,,155120,213200
064,2002,0.7273,0.2252,0.4866,0.0309,0.0561,0.1656,,,150774,207295
065,2002,0.7318,0.2606,0.4577,0.0266,0.0615,0.157,,,150062,205060
066,2002,0.6892,0.2796,0.4561,0.0312,0.0715,0.1388,,,131259,190453
067,2002,0.6846,0.3017,0.4352,0.0308,0.0798,0.1308,,,164081,239673
068,2002,0.6969,0.2903,0.4485,0.0348,0.0762,0.1278,,,144588,207469
069,2002,0.6892,0.2376,0.4634,0.0513,0.0715,0.154,,,130746,189697
070,2002,0.6571,0.3041,0.4462,0.0262,0.0673,0.1341,,,138022,210062
071,2002,0.6979,0.2975,0.4289,0.0321,0.0724,0.1447,,,160188,229541
072,2002,0.6947,0.3146,0.403,0.0291,0.0856,0.1417,,,146804,211316
073,2002,0.7018,0.2448,0.4204,0.0595,0.0798,0.1719,,,137668,196174
074,2002,0.6844,0.3141,0.4076,0.0253,0.0758,0.1487,,,151325,221118
075,2002,0.686,0.3088,0.4176,0.0225,0.0755,0.1511,,,146412,213438
076,2002,0.7477,0.2321,0.3694,0.1902,0.0625,0.0989,,,150464,201240
077,2002,0.7718,0.1593,0.378,0.1618,0.0491,0.202,,,169910,220153
078,2002,0.8028,0.3813,0.3509,0.1097,0.0851,0.0197,,,150276,187183
079,2002,0.7758,0.3497,0.3777,0.1112,0.0787,0.0234,,,143214,184596
