ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01001000,1998,0.5323,0.3123,0.3428,0.058,0.0242,,,,36670,68886
01001000,2003,0.4154,0.3697,0.2492,0.1068,0.0323,0,,,28898,69570
01001000,2008,0.4001,0.2052,0.1593,0.0726,0.0459,0.0734,,,29315,73266
01001000,2013,0.3591,0.2206,0.2069,0.1249,0.0411,0.0369,,,26961,75071
01001000,2018,0.3556,0.1936,0.1824,0.1882,0.0772,0.0748,0,,27322,76827
01002000,1998,0.5357,0.3138,0.4778,0.0959,0.0308,,,,100367,187342
01002000,2003,0.4735,0.4467,0.3272,0.1411,0.0368,0.0102,,,85967,181563
01002000,2008,0.468,0.286,0.3128,0.1659,0.0813,0.1112,,,88435,188971
01002000,2013,0.3715,0.2966,0.3571,0.1759,0.0389,0.0344,,,72414,194918
01002000,2018,0.458,0.2354,0.2985,0.2043,0.0646,0.0722,0.0594,,89925,196334
01003000,1998,0.5732,0.3809,0.4121,0.0785,0.0301,,,,98971,172660
01003000,2003,0.5037,0.5005,0.3241,0.0923,0.0522,0.0178,,,86336,171420
01003000,2008,0.4161,0.255,0.2874,0.1157,0.084,0.1169,,,72686,174677
01003000,2013,0.3709,0.3199,0.338,0.1653,0.0316,0.0393,,,65139,175620
01003000,2018,0.3429,0.2474,0.2762,0.154,0.0416,0.0485,0.0507,,60255,175725
01004000,1998,0.5276,0.3114,0.5238,0.0516,0.0298,,,,34077,64584
01004000,2003,0.4831,0.4526,0.4138,0.0813,0.0523,0,,,30749,63647
01004000,2008,0.4186,0.3435,0.3392,0.0891,0.0958,0.1325,,,26637,63631
01004000,2013,0.3978,0.3647,0.3401,0.125,0.0418,0.03,,,25358,63738
01004000,2018,0.3514,0.3403,0.2736,0.1637,0.0585,0.0426,0,,22786,64839
01051000,1998,0.6675,0.4104,0.3959,0.0361,0.0391,,,,72761,109010
01051000,2003,0.5615,0.5288,0.2614,0.0375,0.0515,0.0014,,,62353,111041
01051000,2008,0.5299,0.4338,0.2291,0.0441,0.0972,0.07,,,59779,112809
01051000,2013,0.5021,0.4332,0.2739,0.0828,0.0665,0.0225,,,56272,112071
01051000,2018,0.4905,0.3988,0.2023,0.0913,0.0906,0.035,0.0555,,54983,112085
01051000,2023,0.5235,0.3853,0.1719,0.0869,0.1144,0.0242,0.1072,,58823,112374
01053000,1998,0.6535,0.4116,0.4438,0.0751,0.0695,,,,91143,139461
01053000,2003,0.5665,0.5171,0.2945,0.0846,0.0657,0,,,83449,147308
01053000,2008,0.5267,0.4105,0.2796,0.1223,0.1029,0.0636,,,80732,153276
01053000,2013,0.4878,0.4098,0.3206,0.1658,0.0571,0.0307,,,76111,156029
01053000,2018,0.4916,0.3586,0.2484,0.1812,0.0681,0.0383,0.0766,,79081,160872
01053000,2023,0.5025,0.355,0.2056,0.1711,0.0684,0.0228,0.0967,,81791,162773
01054000,1998,0.6479,0.3658,0.3629,0.0482,0.0412,,,,83830,129392
01054000,2003,0.5766,0.479,0.2451,0.0589,0.0496,0,,,76257,132255
01054000,2008,0.5064,0.4048,0.2121,0.0663,0.0576,0.04,,,69576,137384
01054000,2013,0.5122,0.3958,0.2405,0.099,0.0367,0.0129,,,70501,137643
01054000,2018,0.5114,0.372,0.1963,0.1382,0.0496,0.0259,0.0362,,71348,139526
01054000,2023,0.5332,0.3361,0.1655,0.1268,0.0455,0.0117,0.0626,,74954,140577
01055000,1998,0.6511,0.3968,0.429,0.0545,0.0416,,,,104612,160671
01055000,2003,0.5605,0.5264,0.3003,0.0619,0.0547,0,,,92945,165830
01055000,2008,0.488,0.4018,0.2577,0.0849,0.0869,0.0549,,,83565,171248
01055000,2013,0.4794,0.3985,0.3026,0.1232,0.0545,0.0178,,,82077,171198
01055000,2018,0.4701,0.3746,0.2476,0.1622,0.0747,0.0059,0.0601,,81725,173861
01055000,2023,0.4882,0.3819,0.2059,0.1626,0.074,,0.0874,,84069,172218
01056000,1998,0.6216,0.3955,0.4425,0.0896,0.0714,,,,140631,226248
01056000,2003,0.521,0.5098,0.2968,0.1115,0.0819,0,,,121507,233211
01056000,2008,0.4536,0.3877,0.2784,0.1267,0.1106,0.0583,,,109659,241740
01056000,2013,0.4552,0.3915,0.3102,0.1556,0.0592,0.0247,,,113032,248303
01056000,2018,0.4659,0.3549,0.2439,0.1831,0.0799,0.0424,0.0697,,119157,255762
01056000,2023,0.485,0.3566,0.2093,0.2081,0.0879,0.0273,0.0903,,123780,255237
01057000,1998,0.7066,0.3863,0.4349,0.0601,0.0412,,,,71355,100978
01057000,2003,0.6227,0.4806,0.3219,0.0736,0.0411,0,,,65608,105353
01057000,2008,0.5793,0.372,0.2863,0.0894,0.0665,0.0629,,,62776,108361
01057000,2013,0.5372,0.3685,0.2981,0.1517,0.0419,0.0209,,,58019,107999
01057000,2018,0.5475,0.3527,0.2309,0.1983,0.0531,0.0347,0.0571,,59632,108909
01057000,2023,0.561,0.3325,0.1978,0.1868,0.0569,0.0196,0.0784,,61182,109050
01058000,1998,0.6771,0.4039,0.4236,0.0585,0.0567,,,,143251,211566
01058000,2003,0.5942,0.5167,0.2924,0.0767,0.0631,0,,,130732,219995
01058000,2008,0.5557,0.4251,0.2819,0.091,0.0938,0.0502,,,124783,224556
01058000,2013,0.541,0.4139,0.3134,0.1248,0.0519,0.0192,,,121700,224936
01058000,2018,0.5365,0.3991,0.2296,0.1594,0.0573,0.0336,0.0411,,122131,227625
01058000,2023,0.5446,0.3649,0.187,0.1607,0.0553,0.0143,0.0745,,124725,229003
01059000,1998,0.6849,0.4172,0.3797,0.0481,0.0278,,,,104416,152445
01059000,2003,0.581,0.5364,0.2665,0.0486,0.0288,0,,,91909,158193
01059000,2008,0.5336,0.4389,0.2245,0.0697,0.0638,0.0511,,,86759,162577
01059000,2013,0.5297,0.4056,0.2551,0.111,0.0331,0.0188,,,86746,163779
01059000,2018,0.5186,0.3856,0.2014,0.1508,0.0433,0.0273,0.0369,,86515,166828
01059000,2023,0.5397,0.3464,0.1624,0.1455,0.0479,0.0153,0.0697,,91616,169746
01060000,1998,0.6116,0.4234,0.4229,0.0707,0.0736,,,,118439,193665
01060000,2003,0.5156,0.5475,0.2787,0.0807,0.0807,0,,,105286,204203
01060000,2008,0.4791,0.4208,0.2632,0.114,0.1184,0.0735,,,102356,213637
01060000,2013,0.4487,0.437,0.2898,0.142,0.0608,0.031,,,97880,218118
01060000,2018,0.437,0.3696,0.2146,0.1505,0.082,0.0375,0.0752,,97823,223830
01060000,2023,0.478,0.3688,0.1826,0.1677,0.0846,0.0208,0.1027,,108521,227044
01061000,1998,0.6482,0.4074,0.435,0.0621,0.0407,,,,69552,107306
01061000,2003,0.5721,0.5452,0.2773,0.0819,0.0547,0,,,62080,108506
01061000,2008,0.4977,0.4389,0.25,0.0942,0.0933,0.0613,,,54913,110336
01061000,2013,0.4944,0.4014,0.2769,0.1135,0.0557,0.0197,,,54378,109997
01061000,2018,0.4928,0.3928,0.2118,0.1432,0.0745,0.0389,0.0606,,53970,109528
01061000,2023,0.5188,0.4054,0.1838,0.142,0.0592,,0.1059,,56492,108898
01062000,1998,0.6324,0.4193,0.4358,0.0916,0.0533,,,,109463,173084
01062000,2003,0.5689,0.5285,0.2898,0.1055,0.0637,0,,,102393,179977
01062000,2008,0.5082,0.4129,0.2731,0.1306,0.1019,0.0631,,,95264,187451
01062000,2013,0.4743,0.411,0.2998,0.1656,0.0618,0.0274,,,91883,193713
01062000,2018,0.484,0.3586,0.2164,0.1887,0.0836,0.0435,0.066,,96262,198878
01062000,2023,0.5043,0.3506,0.1985,0.1997,0.0865,0.0208,0.0835,,99512,197343
03101000,1991,0.6177,0.437,0.4045,0.0883,0.0569,,,,126579,204925
03101000,1996,0.5831,0.3976,0.3764,0.1169,0.0444,,,,117889,202187
03101000,2001,0.4834,0.4112,0.3687,0.0992,0.0763,0.0259,,,93743,193915
03101000,2006,0.4934,0.4455,0.2918,0.0977,0.0506,0.0436,,,96331,195232
03101000,2011,0.4944,0.3818,0.2948,0.1738,0.0209,0.0353,,,98103,198423
03101000,2016,0.5563,0.2621,0.3296,0.1201,0.0445,0.0458,0.0894,,112500,202232
03101000,2021,0.5536,0.2196,0.2949,0.2266,0.059,0.0392,0.0426,,109456,197728
03102000,1991,0.6295,0.4182,0.487,0.0614,0.0294,,,,54444,86482
03102000,1996,0.6115,0.3811,0.4165,0.0594,0.0253,,,,54059,88397
03102000,2001,0.5013,0.3772,0.4787,0.0271,0.0634,0.0139,,,42663,85103
03102000,2006,0.4605,0.349,0.4175,0.0322,0.0391,,,,38052,82635
03102000,2011,0.4464,0.3201,0.4448,0.0938,0.0183,0.04,,,35327,79129
03102000,2016,0.4547,0.3317,0.4139,0.0729,0.0365,0.0584,,,36011,79203
03102000,2021,0.481,0.2984,0.3503,0.0846,0.0498,0.0383,0.1048,,36970,76860
03103000,1991,0.649,0.4245,0.3743,0.0538,0.0355,,,,62291,95987
03103000,1996,0.6172,0.3795,0.4087,0.0742,0.0306,,,,62254,100863
03103000,2001,0.4937,0.416,0.3768,0.042,0.039,0.0102,,,48619,98481
03103000,2006,0.4608,0.3979,0.3278,0.056,0.0532,,,,45808,99407
