ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01001000,2009,0.3253,0.3089,0.2616,0.1688,0.1001,0.0557,0,0,22614,69522
01002000,2009,0.337,0.2766,0.2879,0.1964,0.1021,0.0507,0,0,61611,182806
01003000,2009,0.3389,0.295,0.2802,0.165,0.1181,0.0543,0,0,56287,166078
01004000,2009,0.4082,0.3509,0.2978,0.0862,0.117,0.0425,0,0,24898,60999
01051001,2009,0.3162,0.4648,0.188,0.0842,0.1522,0.0346,0,0,867,2742
01051002,2009,0.4269,0.6027,0.1507,0.0822,0.1233,0,0,0,73,171
01051003,2009,0.3085,0.4248,0.2549,0.0915,0.0784,0.0131,0,0,153,496
01051004,2009,0.3302,0.4774,0.1893,0.0535,0.1852,0.0453,0,0,243,736
01051005,2009,0.4968,0.3377,0.2078,0.1429,0.1948,0.0519,0,0,77,155
01051006,2009,0.4169,0.4286,0.2744,0.0789,0.109,0.0338,0,0,266,638
01051008,2009,0.9167,0.6818,0.1364,0,0.0909,0,0,0,22,24
01051010,2009,0.3816,0.5345,0.0517,0.0345,0.1897,0.0517,0,0,58,152
01051011,2009,0.2836,0.3689,0.2668,0.104,0.1462,0.0314,0,0,3058,10782
01051012,2009,0.3143,0.5534,0.1858,0.0553,0.1304,0.0158,0,0,253,805
01051013,2009,0.351,0.4295,0.2464,0.0613,0.1446,0.0342,0,0,1404,4000
01051014,2009,0.4209,0.4286,0.1955,0.0526,0.203,0.0301,0,0,133,316
01051015,2009,0.3756,0.4774,0.214,0.0905,0.1317,0.0329,0,0,243,647
01051016,2009,0.3126,0.4054,0.205,0.0803,0.1736,0.0508,0,0,1083,3465
01051017,2009,0.431,0.534,0.233,0.0194,0.1068,0.0194,0,0,103,239
01051019,2009,0.3051,0.7011,0.0707,0.0815,0.0924,0.0217,0,0,184,603
01051020,2009,0.3366,0.5,0.1796,0.0922,0.1359,0.034,0,0,206,612
01051021,2009,0.2961,0.3713,0.3293,0.0419,0.1138,0.0479,0,0,167,564
01051022,2009,0.2881,0.4268,0.3057,0.0573,0.0701,0.0382,0,0,157,545
01051023,2009,0.2722,0.4741,0.2074,0.0444,0.1333,0.0148,0,0,135,496
01051024,2009,0.3318,0.4677,0.1962,0.0672,0.1156,0.0403,0,0,372,1121
01051026,2009,0.351,0.4489,0.1467,0.12,0.1511,0.0311,0,0,225,641
01051027,2009,0.3058,0.5118,0.1991,0.09,0.1185,0.0237,0,0,211,690
01051028,2009,0.3371,0.401,0.2174,0.0773,0.1691,0.0386,0,0,207,614
01051030,2009,0.3048,0.5938,0.125,0.0469,0.1094,0.0156,0,0,64,210
01051032,2009,0.411,0.575,0.1833,0.1083,0.1083,0.0083,0,0,120,292
01051033,2009,0.4038,0.4762,0.2381,0.0476,0.1905,0,0,0,21,52
01051034,2009,0.2935,0.4795,0.2291,0.0442,0.1408,0.0311,0,0,611,2082
01051035,2009,0.4753,0.5584,0.1948,0.0519,0.1299,0.0649,0,0,77,162
01051036,2009,0.5,0.5217,0.087,0.0652,0.2609,0,0,0,46,92
01051037,2009,0.3784,0.4026,0.1494,0.1039,0.1623,0.039,0,0,154,407
01051038,2009,0.5513,0.4419,0.1395,0.0233,0.2558,0.0465,0,0,43,78
01051039,2009,0.4214,0.4104,0.2836,0.0597,0.1493,0.0149,0,0,134,318
01051043,2009,0.408,0.4648,0.2817,0.1127,0.0563,0.0282,0,0,71,174
01051044,2009,0.2928,0.405,0.2268,0.0939,0.1405,0.0511,0,0,4933,16845
01051045,2009,0.4922,0.4127,0.1905,0.0794,0.1429,0.0476,0,0,63,128
01051046,2009,0.353,0.3586,0.3028,0.0717,0.1474,0.0319,0,0,251,711
01051047,2009,0.4193,0.569,0.1724,0.0747,0.069,0.0402,0,0,174,415
01051048,2009,0.2909,0.4246,0.2913,0.042,0.1261,0.029,0,0,690,2372
01051049,2009,0.2975,0.4295,0.2158,0.0726,0.1645,0.0256,0,0,468,1573
01051050,2009,0.4237,0.68,0.04,0.08,0.12,0.04,0,0,25,59
01051051,2009,0.2723,0.4231,0.2308,0.0692,0.1308,0.0692,0,0,260,955
01051052,2009,0.717,0.4211,0.1316,0.1053,0.1842,0,0,0,38,53
01051053,2009,0.3699,0.4725,0.1538,0.0879,0.2088,0.044,0,0,91,246
01051054,2009,0.4524,0.6842,0.0789,0.0789,0.0789,0,0,0,38,84
01051057,2009,0.4786,0.4552,0.2687,0.0299,0.1418,0.0224,0,0,134,280
01051058,2009,0.419,0.5,0.0455,0.0909,0.2045,0.0227,0,0,44,105
01051060,2009,0.4243,0.4268,0.1847,0.1274,0.1465,0.0255,0,0,157,370
01051061,2009,0.3306,0.4479,0.3067,0.0491,0.0675,0.0307,0,0,163,493
01051062,2009,0.3892,0.4419,0.2434,0.0712,0.1086,0.0449,0,0,267,686
01051063,2009,0.3175,0.5224,0.1716,0.0672,0.1269,0.0522,0,0,134,422
01051064,2009,0.34,0.4795,0.1696,0.0936,0.1637,0.0468,0,0,171,503
01051065,2009,0.2897,0.4061,0.2605,0.0307,0.1456,0.0575,0,0,261,901
01051067,2009,0.3634,0.44,0.272,0.016,0.112,0.056,0,0,125,344
01051068,2009,0.3275,0.4089,0.1822,0.0711,0.2356,0.0222,0,0,225,687
01051069,2009,0.3995,0.3836,0.2657,0.1164,0.1522,0.0269,0,0,670,1677
01051071,2009,0.2457,0.3884,0.313,0.0609,0.1043,0.0203,0,0,345,1404
01051072,2009,0.3184,0.4393,0.2302,0.0633,0.1392,0.0396,0,0,1516,4762
01051073,2009,0.243,0.4103,0.3077,0.0513,0.0769,0.0769,0,0,78,321
01051074,2009,0.3309,0.3974,0.2399,0.1176,0.1345,0.0435,0,0,1955,5908
01051075,2009,0.3035,0.361,0.2407,0.1079,0.1328,0.0581,0,0,241,794
01051076,2009,0.403,0.4764,0.1934,0.0755,0.1368,0.0236,0,0,212,526
01051077,2009,0.5607,0.6333,0.0667,0.0833,0.1667,0.0167,0,0,60,107
01051078,2009,0.3434,0.4101,0.1735,0.1041,0.1703,0.0536,0,0,317,923
01051079,2009,0.4023,0.3913,0.2971,0.0435,0.1667,0.029,0,0,138,343
01051080,2009,0.4667,0.5102,0.1633,0.102,0.102,0,0,0,49,105
01051081,2009,0.4087,0.5532,0.1277,0.0957,0.1489,0.0319,0,0,94,230
