ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01001000,1990,0.7257,0.3705,0.45,0.0454,0.104,0.0042,,,50485,69563
01001000,1994,0.7593,0.3442,0.4664,0.0897,0.0657,0.0135,,,52379,68987
01001000,1998,0.7689,0.2916,0.5112,0.0765,0.0638,0.0183,,,50560,65755
01001000,2002,0.7462,0.2958,0.4819,0.1144,0.0705,0.0177,,,49054,65740
01001000,2005,0.7317,0.2884,0.4354,0.1042,0.087,0.0636,,,49002,66970
01001000,2009,0.6744,0.2474,0.2804,0.1612,0.1437,0.1159,,,46583,69075
01001000,2013,0.6659,0.3055,0.3562,0.119,0.0445,0.0817,0.0401,,46827,70321
01001000,2017,0.7089,0.2716,0.2464,0.1505,0.103,0.1157,0.0751,,49694,70105
01001000,2021,0.7399,0.1407,0.2456,0.242,0.0941,0.062,0.0542,,51278,69302
01001000,2025,0.794,0.1745,0.1568,0.2061,0.033,0.1286,0.1383,0.0333,55072,69358
01002000,1990,0.7614,0.3497,0.4553,0.0605,0.106,0.0063,,,146889,192930
01002000,1994,0.7862,0.3321,0.4452,0.1195,0.0618,0.0199,,,149583,190268
01002000,1998,0.7971,0.2801,0.4919,0.1027,0.0687,0.0241,,,144804,181661
01002000,2002,0.7806,0.2686,0.4514,0.1533,0.0804,0.0227,,,137758,176468
01002000,2005,0.7704,0.2785,0.4228,0.1306,0.0844,0.0619,,,136375,177028
01002000,2009,0.7171,0.2444,0.2997,0.1757,0.1294,0.0986,,,131024,182726
01002000,2013,0.7044,0.2911,0.3525,0.144,0.0512,0.0725,0.0366,,132054,187464
01002000,2017,0.7406,0.2586,0.2409,0.1747,0.1143,0.107,0.0693,,138481,186988
01002000,2021,0.7625,0.1453,0.2601,0.2892,0.1024,0.0641,0.0502,,140793,184655
01002000,2025,0.8246,0.1874,0.1928,0.231,0.0383,0.1441,0.1091,0.0336,151581,183830
01003000,1990,0.7508,0.4137,0.4068,0.0427,0.1026,0.0047,,,129441,172415
01003000,1994,0.7743,0.39,0.4303,0.0854,0.0569,0.0138,,,132575,171209
01003000,1998,0.7854,0.3259,0.4809,0.0746,0.063,0.0183,,,130874,166635
01003000,2002,0.7639,0.313,0.4817,0.0993,0.0653,0.0163,,,126336,165375
01003000,2005,0.7308,0.3059,0.4398,0.0921,0.0826,0.0566,,,120580,164988
01003000,2009,0.683,0.266,0.3046,0.1393,0.1398,0.1008,,,113336,165928
01003000,2013,0.6776,0.3365,0.3455,0.1121,0.0468,0.066,0.0428,,113351,167287
01003000,2017,0.7139,0.2893,0.2554,0.1291,0.1074,0.097,0.0887,,118981,166673
01003000,2021,0.7238,0.1764,0.3071,0.2304,0.1017,0.0455,0.0663,,118804,164139
01003000,2025,0.7951,0.2185,0.2144,0.1833,0.0379,0.109,0.1529,0.0378,129549,162925
01004000,1990,0.7328,0.4152,0.4306,0.0304,0.0991,0.0035,,,47530,64857
01004000,1994,0.7537,0.3887,0.4558,0.0606,0.0611,0.011,,,48484,64327
01004000,1998,0.772,0.3171,0.5221,0.0488,0.0584,0.016,,,48504,62826
01004000,2002,0.7471,0.3353,0.4853,0.0658,0.0716,0.0128,,,46253,61909
01004000,2005,0.7254,0.3327,0.4244,0.0654,0.0941,0.0512,,,44386,61191
01004000,2009,0.6538,0.3005,0.3104,0.1099,0.1496,0.0838,,,39886,61004
01004000,2013,0.654,0.3598,0.3578,0.0751,0.0489,0.0548,0.0499,,39957,61095
01004000,2017,0.6679,0.3113,0.2572,0.1048,0.1212,0.071,0.1035,,40325,60378
01004000,2021,0.679,0.2024,0.322,0.1461,0.1191,0.033,0.0938,,40376,59460
01004000,2025,0.7622,0.2533,0.1959,0.105,0.0414,0.0806,0.223,0.0462,44693,58634
01051001,1990,0.7499,0.5343,0.3154,0.0192,0.1134,0.0044,,,2045,2913
01051001,1994,0.798,0.4848,0.3582,0.056,0.0771,0.0065,,,2161,2975
01051001,1998,0.8131,0.4615,0.3819,0.0346,0.0815,0.0132,,,2249,3010
