ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
03151000,2006,0.5326,,0.6017,,,,,,SPD,0.6017,Landratswahl,hauptwahl,73997,138936
03151000,2014,0.4656,0.5132,,,,,,,CDU,0.5132,Landratswahl,hauptwahl,65733,141175
03151000,2021,0.6051,,,,,,,,,,Landratswahl,hauptwahl,86454,142887
03151000,2021,0.6652,,0.6406,,,,,,SPD,0.6406,Landratswahl,stichwahl,95010,142837
03152000,2011,0.4966,,0.3841,,,,,,SPD,0.3841,Landratswahl,hauptwahl,100960,203303
03153000,2006,0.5069,,0.5261,,,,,,SPD,0.5261,Landratswahl,hauptwahl,62297,122907
03153000,2021,0.5593,,0.5305,,,,,,SPD,0.5305,Landratswahl,hauptwahl,61666,110246
03154000,2011,0.5578,,0.5991,,,,,,SPD,0.5991,Landratswahl,hauptwahl,43007,77103
03154000,2016,0.5524,,,,,,,,,,Landratswahl,hauptwahl,42632,77177
03154000,2016,0.3195,0.6069,,,,,,,CDU,0.6069,Landratswahl,stichwahl,24771,77521
03154000,2021,0.57,,,,,,,,,,Landratswahl,hauptwahl,43350,76050
03154000,2021,0.6155,0.5057,,,,,,,CDU,0.5057,Landratswahl,stichwahl,46769,75991
03155000,2013,0.7074,,,,,,,,,,Landratswahl,hauptwahl,80991,114486
03155000,2013,0.3897,,0.5187,,,,,,SPD,0.5187,Landratswahl,stichwahl,44804,114956
03155000,2021,0.5966,,0.6025,,,,,,SPD,0.6025,Landratswahl,hauptwahl,66135,110853
03156000,2006,0.5478,,0.6209,,,,,,SPD,0.6209,Landratswahl,hauptwahl,37566,68571
03157000,2006,0.5231,,0.613,,,,,,SPD,0.613,Landratswahl,hauptwahl,56146,107337
03157000,2016,0.565,,0.5406,,,,,,SPD,0.5406,Landratswahl,hauptwahl,60941,107853
03157000,2021,0.5808,,,,,,,,,,Landratswahl,hauptwahl,63697,109679
03157000,2021,0.6171,,0.6498,,,,,,SPD,0.6498,Landratswahl,stichwahl,67678,109679
03158000,2006,0.5576,,,,,,,,,,Landratswahl,hauptwahl,56886,102014
03158000,2006,0.3531,,0.7004,,,,,,SPD,0.7004,Landratswahl,stichwahl,36055,102097
03158000,2013,0.7407,,0.5925,,,,,,SPD,0.5925,Landratswahl,hauptwahl,74559,100657
03158000,2021,0.6327,,,,,,,,,,Landratswahl,hauptwahl,62700,99104
03158000,2021,0.6684,,0.6627,,,,,,SPD,0.6627,Landratswahl,stichwahl,66219,99071
03159000,2016,0.5398,,,,,,,,,,Landratswahl,hauptwahl,144717,268101
03159000,2016,0.3084,,0.5616,,,,,,SPD,0.5616,Landratswahl,stichwahl,82547,267698
03159000,2021,0.563,,,,,,,,,,Landratswahl,hauptwahl,146619,260416
03159000,2021,0.6207,,0.635,,,,,,SPD,0.635,Landratswahl,stichwahl,161570,260312
03241000,2006,0.4678,,,,,,,,,,Landratswahl,hauptwahl,414124,885229
03241000,2006,0.2775,,0.7801,,,,,,SPD,0.7801,Landratswahl,stichwahl,245386,884323
03241000,2014,0.4403,,,,,,,,,,Landratswahl,hauptwahl,421034,956310
03241000,2014,0.2759,,0.5087,,,,,,SPD,0.5087,Landratswahl,stichwahl,255309,925529
03241000,2021,0.547,,,,,,,,,,Landratswahl,hauptwahl,492120,899730
03241000,2021,0.6196,,0.6391,,,,,,SPD,0.6391,Landratswahl,stichwahl,557574,899881
03251000,2011,0.5141,,,,,,,,EB,0.612,Landratswahl,hauptwahl,90238,175517
03251000,2019,0.5921,,,,,,,,EB,0.8985,Landratswahl,hauptwahl,106011,179032
03252000,2011,0.5098,,0.5335,,,,,,SPD,0.5335,Landratswahl,hauptwahl,64038,125619
03252000,2013,0.6866,,,,,,,,,,Landratswahl,hauptwahl,85731,124870
03252000,2013,0.4424,,0.5985,,,,,,SPD,0.5985,Landratswahl,stichwahl,55263,124922
03254000,2006,0.5224,,,,,,,,,,Landratswahl,hauptwahl,121491,232556
03254000,2006,0.2923,,0.8264,,,,,,SPD,0.8264,Landratswahl,stichwahl,68001,232679
03254000,2016,0.5765,,0.5391,,,,,,SPD,0.5391,Landratswahl,hauptwahl,131549,228174
03254000,2021,0.5896,,,,,,,,,,Landratswahl,hauptwahl,133126,225804
03254000,2021,0.6264,,0.6253,,,,,,SPD,0.6253,Landratswahl,stichwahl,141443,225805
03255000,2011,0.549,,0.608,,,,,,SPD,0.608,Landratswahl,hauptwahl,33435,60907
03255000,2019,0.5786,,,,,,,,EB,0.5947,Landratswahl,hauptwahl,33766,58354
03256000,2011,0.5199,,,,,,,,EB,0.6142,Landratswahl,hauptwahl,52562,101106
03256000,2019,0.5398,,,,,,,,EB,0.8136,Landratswahl,hauptwahl,53664,99407
03257000,2006,0.5191,,0.6575,,,,,,SPD,0.6575,Landratswahl,hauptwahl,68849,132633
03351000,2006,0.4795,0.5426,,,,,,,CDU,0.5426,Landratswahl,hauptwahl,70476,146981
03351000,2014,0.4498,0.5985,,,,,,,CDU,0.5985,Landratswahl,hauptwahl,65636,145908
03351000,2021,0.5661,0.6206,,,,,,,CDU,0.6206,Landratswahl,hauptwahl,82832,146327
03352000,2011,0.5358,,,,,,,,EB,0.7949,Landratswahl,hauptwahl,89074,166237
03352000,2019,0.5953,,,,,,,,EB,0.6353,Landratswahl,hauptwahl,98883,166100
03353000,2006,0.4954,,,,,,,,EB,0.6262,Landratswahl,hauptwahl,96233,194234
03353000,2014,0.5046,0.5225,,,,,,,CDU,0.5225,Landratswahl,hauptwahl,103804,205697
03354000,2006,0.5609,,,,,,,,EB,0.6122,Landratswahl,hauptwahl,23988,42769
03354000,2014,0.5173,,,,,,,,EB,0.7255,Landratswahl,hauptwahl,21441,41447
03354000,2021,0.6234,,,,,,,,,,Landratswahl,hauptwahl,25462,40841
03354000,2021,0.6428,,,,,,,,EB,0.5702,Landratswahl,stichwahl,26225,40801
03355000,2006,0.5292,,,,,,,,,,Landratswahl,hauptwahl,73679,139220
03355000,2006,0.3176,,0.6331,,,,,,SPD,0.6331,Landratswahl,stichwahl,44185,139139
03355000,2014,0.521,,0.5053,,,,,,SPD,0.5053,Landratswahl,hauptwahl,75655,145204
03355000,2019,0.6502,,,,,,,,,,Landratswahl,hauptwahl,96443,148338
03355000,2019,,,,,,,,,CDU,,Landratswahl,stichwahl,,
03356000,2011,0.5211,,0.8564,,,,,,SPD,0.8564,Landratswahl,hauptwahl,47814,91763
03356000,2013,0.7237,,0.5692,,,,,,SPD,0.5692,Landratswahl,hauptwahl,66993,92566
03356000,2021,0.5959,,0.8709,,,,,,SPD,0.8709,Landratswahl,hauptwahl,56301,94484
03357000,2006,0.586,0.6039,,,,,,,CDU,0.6039,Landratswahl,hauptwahl,77289,131891
03357000,2014,0.5442,0.6215,,,,,,,CDU,0.6215,Landratswahl,hauptwahl,73112,134345
03357000,2021,0.622,0.6036,,,,,,,CDU,0.6036,Landratswahl,hauptwahl,85010,136681
03358000,2014,0.4965,,,,,,,,EB,0.7127,Landratswahl,hauptwahl,56739,114277
03358000,2021,0.5602,,,,,,,,EB,0.5281,Landratswahl,hauptwahl,64701,115488
03359000,2006,0.5166,0.5387,,,,,,,CDU,0.5387,Landratswahl,hauptwahl,81779,158313
03359000,2014,0.4638,0.5561,,,,,,,CDU,0.5561,Landratswahl,hauptwahl,75930,163708
03359000,2021,0.5692,0.5585,,,,,,,CDU,0.5585,Landratswahl,hauptwahl,95803,168322
03360000,2011,0.5642,0.4444,,,,,,,CDU,0.4444,Landratswahl,hauptwahl,44445,78782
03360000,2019,0.5916,,,,,,,,CDU,,Landratswahl,hauptwahl,46324,78300
03361000,2011,0.534,,0.6651,,,,,,SPD,0.6651,Landratswahl,hauptwahl,57657,107964
03361000,2019,0.618,,0.7258,,,,,,SPD,0.7258,Landratswahl,hauptwahl,68611,111023
03451000,2006,0.532,0.5647,,,,,,,CDU,0.5647,Landratswahl,hauptwahl,49464,92972
03451000,2014,0.4787,,,,,,,,EB,0.8555,Landratswahl,hauptwahl,47599,99437
03451000,2021,0.6127,,,,,,,,EB,0.5064,Landratswahl,hauptwahl,63732,104014
03452000,2011,0.5312,,,,,,,,EB,0.4588,Landratswahl,hauptwahl,83496,157175
03452000,2019,0.5841,,,,,,,,EB,0.5348,Landratswahl,hauptwahl,93708,160436
03453000,2006,0.5449,0.8028,,,,,,,CDU,0.8028,Landratswahl,hauptwahl,64981,119245
03453000,2014,0.4815,0.7017,,,,,,,CDU,0.7017,Landratswahl,hauptwahl,61327,127358
03453000,2021,0.5498,0.6608,,,,,,,CDU,0.6608,Landratswahl,hauptwahl,75548,137419
03454000,2006,0.5614,0.7424,,,,,,,CDU,0.7424,Landratswahl,hauptwahl,137564,245026
03454000,2011,0.5506,0.6802,,,,,,,CDU,0.6802,Landratswahl,hauptwahl,139003,252463
03454000,2019,0.5735,0.5944,,,,,,,CDU,0.5944,Landratswahl,hauptwahl,153080,266903
03455000,2011,0.5454,,0.7506,,,,,,SPD,0.7506,Landratswahl,hauptwahl,45254,82967
03455000,2019,0.606,,0.7885,,,,,,SPD,0.7885,Landratswahl,hauptwahl,50887,83972
03456000,2011,0.5637,0.5206,,,,,,,CDU,0.5206,Landratswahl,hauptwahl,61510,109112
03456000,2019,0.6073,,,,,,,,,,Landratswahl,hauptwahl,68272,112416
03456000,2019,,,,,,,,,CDU,,Landratswahl,stichwahl,,
03457000,2006,0.5462,,0.6782,,,,,,SPD,0.6782,Landratswahl,hauptwahl,72130,132055
03457000,2014,0.4753,,0.7654,,,,,,SPD,0.7654,Landratswahl,hauptwahl,64987,136741
03457000,2016,0.5503,,0.5679,,,,,,SPD,0.5679,Landratswahl,hauptwahl,76399,138838
03457000,2021,0.5657,,0.8125,,,,,,SPD,0.8125,Landratswahl,hauptwahl,79973,141363
03458000,2006,0.561,,0.6822,,,,,,SPD,0.6822,Landratswahl,hauptwahl,55879,99607
03458000,2014,0.529,,,,,,,,EB,0.8062,Landratswahl,hauptwahl,55744,105375
03458000,2021,0.5943,,,,,,,,EB,0.6339,Landratswahl,hauptwahl,65401,110047
03459000,2011,0.549,0.4126,,,,,,,CDU,0.4126,Landratswahl,hauptwahl,156578,285224
03459000,2019,0.5941,,,,,,,,,,Landratswahl,hauptwahl,174482,293708
03459000,2019,,,,,,,,,GRÜNE,,Landratswahl,stichwahl,,
03460000,2006,0.5635,0.7555,,,,,,,CDU,0.7555,Landratswahl,hauptwahl,56099,99560
03460000,2014,0.4897,0.8114,,,,,,,CDU,0.8114,Landratswahl,hauptwahl,52610,107436
03460000,2021,0.5801,0.9265,,,,,,,CDU,0.9265,Landratswahl,hauptwahl,65669,113210
03461000,2013,0.6673,,,,,,,,EB,0.541,Landratswahl,hauptwahl,49288,73859
03461000,2021,0.5436,,,,,,,,,,Landratswahl,hauptwahl,39820,73257
03461000,2021,0.6146,,,,,,,,EB,0.5695,Landratswahl,stichwahl,45036,73280
03462000,2006,0.573,,,,,,,,EB,0.7643,Landratswahl,hauptwahl,26763,46706
03462000,2016,0.5851,,0.545,,,,,,SPD,0.545,Landratswahl,hauptwahl,28007,47866
03462000,2021,0.5913,,0.819,,,,,,SPD,0.819,Landratswahl,hauptwahl,28623,48408
05154000,2009,0.5301,0.5717,,,,,,,CDU,0.5717,Landratswahl,hauptwahl,133670,252163
