ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,winner_party,winner_voteshare,election_type,round,number_voters,eligible_voters
01002000,2025,0.4887,,,,,,,,CDU und FDP,0.2869,Oberbürgermeisterwahl,hauptwahl,93132,190568
01002000,2025,0.4353,,,0.5411,,,,,GRÜNE,0.5411,Oberbürgermeisterwahl,stichwahl,82629,189800
01003000,2023,,,,,,,,,Sozialdemokratische Partei Deutschlands und FREIE WÄHLER,0.4252,Bürgermeisterwahl,hauptwahl,,174393
01003000,2023,,,,,,,,,Sozialdemokratische Partei Deutschlands und FREIE WÄHLER,0.6585,Bürgermeisterwahl,stichwahl,,174197
01051011,2024,0.5283,,,,,,,,EB,0.7072,Bürgermeisterwahl,hauptwahl,5521,10450
01051013,2024,0.6519,,,,,,,,"CDU, SPD, FWB",0.5979,Bürgermeisterwahl,hauptwahl,2831,4343
01051044,2026,0.4049,,0.5065,,,,,,SPD,0.5065,Bürgermeisterwahl,hauptwahl,6884,17003
01051074,2025,0.4863,,,,,,,,EB,0.5791,Bürgermeisterwahl,hauptwahl,2912,5988
01053116,2026,0.233,,,,,,,,EB,0.8602,Bürgermeisterwahl,hauptwahl,2845,12211
01054019,2024,0.4373,0.5902,,,,,,,CDU,0.5902,Bürgermeisterwahl,hauptwahl,1951,4461
01054113,2024,0.6731,,,,,,,,EB,0.3505,Bürgermeisterwahl,hauptwahl,2211,3285
01054113,2024,0.5656,,,,,,,,EB,0.5579,Bürgermeisterwahl,stichwahl,1857,3283
01054168,2025,0.4858,,,,,,,,,0.3843,Bürgermeisterwahl,hauptwahl,5899,12144
01054168,2025,0.388,,,,,,,,,0.5558,Bürgermeisterwahl,stichwahl,4690,12088
01055001,2023,0.4203,,,,,,,,EB,0.8395,Bürgermeisterwahl,hauptwahl,2969,7064
01055021,2025,0.4658,,,,,,,,EB,0.6653,Bürgermeisterwahl,hauptwahl,3806,8171
01055032,2024,0.5627,,,,,,,,EB,0.8393,Bürgermeisterwahl,hauptwahl,7644,13584
01055033,2025,0.3844,,,,,,,,EB,0.7779,Bürgermeisterwahl,hauptwahl,3098,8060
01055035,2026,0.491,,,,,,,,EB,0.8772,Bürgermeisterwahl,hauptwahl,6229,12687
01055040,2024,0.4958,,,,,,,,EB,0.5944,Bürgermeisterwahl,hauptwahl,6945,14008
01055044,2025,0.4931,,,,,,,,EB,0.7722,Bürgermeisterwahl,hauptwahl,5059,10260
01056002,2025,0.4908,,0.4756,,,,,,SPD,0.4756,Bürgermeisterwahl,hauptwahl,4095,8343
