ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01001000,1994,0.6316,0.2835,0.3475,0.0887,0.0217,,,,43262,68499
01001000,1998,0.5323,0.3123,0.3428,0.0242,0.058,,,,36670,68886
01001000,2003,0.4154,0.3697,0.2492,0.1068,0.0323,,,,28898,69570
01001000,2008,0.4001,0.2052,0.1593,0.0726,0.0459,0.0734,,,29315,73266
01001000,2013,0.3591,0.2206,0.2069,0.1249,0.0411,0.0369,,,26961,75071
01001000,2018,0.3556,0.1936,0.1824,0.1882,0.0772,0.0748,,,27322,76827
01001000,2023,0.3574,0.1915,0.1351,0.2361,0.0567,0.0413,,,27625,77296
01002000,1994,0.6466,0.3114,0.3935,0.1519,0.0391,,,,122747,189824
01002000,1998,0.5357,0.3138,0.4778,0.0308,0.0959,,,,100367,187342
01002000,2003,0.4735,0.4467,0.3272,0.1411,0.0368,,,,85967,181563
01002000,2008,0.468,0.286,0.3128,0.1659,0.0813,0.1112,,,88435,188971
01002000,2013,0.3715,0.2966,0.3571,0.1759,0.0389,0.0344,,,72414,194918
01002000,2018,0.458,0.2354,0.2985,0.2043,0.0646,0.0722,0.0594,,89925,196334
01002000,2023,0.4597,0.2295,0.2198,0.2713,0.0451,0.0485,0.0598,,88308,192104
01003000,1994,0.6479,0.3165,0.4131,0.105,0.0278,,,,110692,170837
01003000,1998,0.5732,0.3809,0.4121,0.0301,0.0785,,,,98971,172660
01003000,2003,0.5037,0.5005,0.3241,0.0923,0.0522,,,,86336,171420
01003000,2008,0.4161,0.255,0.2874,0.1157,0.084,0.1169,,,72686,174677
01003000,2013,0.3709,0.3199,0.338,0.1653,0.0316,0.0393,,,65139,175620
01003000,2018,0.3429,0.2474,0.2762,0.154,0.0416,0.0485,0.0507,,60255,175725
01003000,2023,0.4156,0.239,0.2297,0.2259,0.0565,0.0312,0.0858,,72238,173810
01004000,1994,0.6454,0.3201,0.4185,0.0922,0.0329,,,,41497,64299
01004000,1998,0.5276,0.3114,0.5238,0.0298,0.0516,,,,34077,64584
01004000,2003,0.4831,0.4526,0.4138,0.0813,0.0523,,,,30749,63647
01004000,2008,0.4186,0.3435,0.3392,0.0891,0.0958,0.1325,,,26637,63631
