ags,election_year,turnout,cdu_csu,spd,gruene,fdp,linke_pds,afd,bsw,number_voters,eligible_voters
01001000,1996,0.6618,0.2903,0.3376,0.0776,0.0369,,,,44694,67532
01001000,2000,0.6321,0.2715,0.4119,0.0592,0.0534,0.0145,,,41018,64891
01001000,2005,0.5824,0.306,0.3955,0.0592,0.0484,0.0075,,,38799,66619
01001000,2009,0.6735,0.2223,0.2202,0.1302,0.1162,0.0793,,,46159,68535
01001000,2012,0.5294,0.2144,0.2556,0.1484,0.0663,0.0305,,,36954,69809
01001000,2017,0.5855,0.2261,0.255,0.1427,0.0893,0.0696,0.0537,,41896,71553
01001000,2022,0.5601,0.2935,0.1302,0.2464,0.0503,0.0312,0.036,,39522,70566
01002000,1996,0.705,0.3013,0.4459,0.1162,0.0572,,,,132266,187613
01002000,2000,0.6778,0.2751,0.4579,0.0973,0.0729,0.0246,,,120427,177662
01002000,2005,0.6515,0.2909,0.435,0.1158,0.0637,0.0149,,,115183,176802
01002000,2009,0.7168,0.2243,0.3,0.1709,0.1229,0.0769,,,129949,181279
01002000,2012,0.6139,0.2035,0.3614,0.1803,0.0684,0.035,,,114055,185775
01002000,2017,0.6336,0.2368,0.2779,0.1834,0.1038,0.0718,0.0526,,120622,190366
01002000,2022,0.5969,0.3068,0.1684,0.289,0.0609,0.0326,0.0325,,111362,186553
01003000,1996,0.6636,0.3439,0.4247,0.0941,0.0526,,,,112040,168838
01003000,2000,0.6235,0.3104,0.4733,0.0815,0.0685,0.0196,,,102858,164959
01003000,2005,0.6023,0.3449,0.4382,0.073,0.0617,0.016,,,98967,164304
01003000,2009,0.6804,0.2559,0.3068,0.1412,0.136,0.0821,,,112369,165148
01003000,2012,0.5175,0.2379,0.3668,0.1535,0.0679,0.0308,,,86137,166458
01003000,2017,0.5649,0.2674,0.3071,0.146,0.0984,0.0569,0.0675,,96538,170898
01003000,2022,0.5273,0.3516,0.1938,0.2459,0.0518,0.025,0.046,,88396,167645
01004000,1996,0.66,0.3419,0.464,0.0678,0.0487,,,,42101,63791
01004000,2000,0.6342,0.2935,0.4899,0.0519,0.0793,0.0154,,,39372,62078
01004000,2005,0.6016,0.362,0.4228,0.0513,0.0677,0.0085,,,36785,61148
01004000,2009,0.6538,0.3006,0.297,0.1079,0.137,0.065,,,39768,60823
01004000,2012,0.5314,0.2849,0.3437,0.1129,0.0732,0.0268,,,32419,61009
01004000,2017,0.5612,0.2917,0.2877,0.1308,0.1167,0.0357,0.0767,,34808,62021
01004000,2022,0.4977,0.4612,0.1831,0.1433,0.0575,0.0155,0.0608,,30100,60480
01051001,1996,0.7093,0.4677,0.3445,0.0529,0.0806,,,,1962,2766
01051001,2000,0.7093,0.47,0.3436,0.0334,0.0945,0.0167,,,1954,2755
01051001,2005,0.667,0.5072,0.3107,0.0305,0.0873,0.0054,,,1893,2838
01051001,2009,0.7028,0.3929,0.1852,0.0771,0.2007,0.0535,,,1920,2732
01051001,2012,0.5486,0.4046,0.2377,0.0715,0.1008,0.017,,,1496,2727
01051001,2017,0.6039,0.3696,0.2579,0.0838,0.1503,0.0303,0.0547,,1697,2810
01051001,2022,0.593,0.4944,0.1506,0.1103,0.0699,0.0142,0.0622,,1696,2860
01051002,1996,0.7059,0.4083,0.3083,0.1417,0.0667,,,,120,170
01051002,2000,0.7747,0.3237,0.4173,0.0719,0.1151,0.0072,,,141,182
01051002,2005,0.7259,0.4965,0.3217,0.042,0.0839,0,,,143,197
01051002,2009,0.7442,0.392,0.168,0.12,0.176,0.056,,,128,172
01051002,2012,0.6215,0.4286,0.2381,0.1143,0.0571,0.0095,,,110,177
01051002,2017,0.7602,0.4077,0.2538,0.1,0.1077,0.0154,0.0538,,130,171
01051002,2022,0.7029,0.5569,0.0539,0.1138,0.0838,0.012,0.0838,,168,239
01051003,1996,0.6576,0.3694,0.4625,0.0511,0.021,,,,338,514
01051003,2000,0.6557,0.3795,0.4789,0.0271,0.0392,0.0211,,,339,517
01051003,2005,0.598,0.4533,0.3772,0.0311,0.0761,0,,,296,495
01051003,2009,0.6667,0.3906,0.2031,0.075,0.1781,0.075,,,328,492
01051003,2012,0.5292,0.3359,0.2812,0.0938,0.0625,0.0156,,,263,497
01051003,2017,0.6554,0.3506,0.2957,0.0884,0.0976,0.0152,0.0732,,329,502
01051003,2022,0.5801,0.4895,0.1713,0.0559,0.0734,0.007,0.0804,,286,493
01051004,1996,0.75,0.4181,0.3826,0.0493,0.0513,,,,516,688
